Continent,Country,Result_Happiness,Depression_disorders_Both_Gender,Alcohol_Use_Disorders
Africa,Uganda,unhappy country,6.62526281588838,0.8398743996841069
Asia,Bangladesh,unhappy country,4.72017958658059,1.11681298447816
Africa,Central African Republic,unhappy country,5.956247168409121,1.1190848325128742
Africa,Somalia,unhappy country,4.891817569750405,1.192547717601957
Africa,Gabon,unhappy country,5.6241213031334905,1.193172558312471
Asia,Nepal,unhappy country,4.9915460901753494,1.211964835626528
Africa,Madagascar,unhappy country,4.849347746131045,1.343919854253952
Africa,Burundi,unhappy country,4.805564697615065,1.425092521761636
Africa,Mozambique,unhappy country,5.032961064696535,1.616753672632734
Europe,Greece,unhappy country,5.462541810963586,1.7847056993592758
